Icon	#	Point From	Point To	Reflector Height (m)	Azimuth	Horizontal Circle	Slope Distance (m)	Zenith Angle	Date	Note	Code	Type	SDist Residual (m)	ZAngle Residual	Azimuth Residual	Cross Residual (m)	HAngle Residual
 	86	1	87	1.483	 	"195°57'01.0000"""	113.129	"90°03'41.0000"""	 	 	transect2	SS	 	 	 	 	 
 	87	1	88	1.483	 	"195°46'29.0000"""	113.317	"90°02'59.0000"""	 	 	transect2	SS	 	 	 	 	 
 	88	1	89	1.483	 	"195°51'40.0000"""	113.312	"90°03'16.0000"""	 	 	transect2	SS	 	 	 	 	 
 	89	1	90	1.483	 	"83°40'01.0000"""	9.245	"90°10'50.0000"""	 	 	pt3	SS	 	 	 	 	 
 	90	1	91	1.483	 	"197°38'10.0000"""	197.184	"89°59'21.0000"""	 	 	pt6	SS	 	 	 	 	 
 	91	1	92	1.483	 	"17°38'12.0000"""	197.186	"270°00'41.0000"""	 	 	pt6	SS	 	 	 	 	 
 	92	1	93	1.483	 	"197°38'08.0000"""	197.185	"89°59'20.0000"""	 	 	pt6	SS	 	 	 	 	 
 	93	1	94	1.483	 	"17°38'11.0000"""	197.187	"270°00'46.0000"""	 	 	pt6	SS	 	 	 	 	 
 	94	1	95	2.233	 	"41°45'15.0000"""	188.568	"270°00'47.0000"""	 	 	transect3	SS	 	 	 	 	 
 	95	1	96	2.233	 	"221°29'30.0000"""	188.469	"89°57'06.0000"""	 	 	transect3	SS	 	 	 	 	 
 	96	1	97	2.233	 	"221°25'10.0000"""	188.52	"89°56'24.0000"""	 	 	transect3	SS	 	 	 	 	 
 	97	1	98	2.233	 	"221°16'16.0000"""	188.533	"89°55'05.0000"""	 	 	transect3	SS	 	 	 	 	 
 	98	1	99	2.233	 	"221°19'15.0000"""	188.531	"89°55'13.0000"""	 	 	transect3	SS	 	 	 	 	 
 	99	1	100	2.233	 	"220°42'19.0000"""	188.314	"89°51'59.0000"""	 	 	transect3	SS	 	 	 	 	 
 	100	1	101	2.233	 	"220°55'47.0000"""	188.429	"89°53'23.0000"""	 	 	transect3	SS	 	 	 	 	 
 	101	1	102	2.233	 	"220°51'11.0000"""	188.424	"89°52'51.0000"""	 	 	transect3	SS	 	 	 	 	 
 	102	1	103	2.233	 	"220°53'32.0000"""	188.398	"89°53'06.0000"""	 	 	transect3	SS	 	 	 	 	 
 	103	1	104	1.483	 	"216°42'00.0000"""	184.309	"90°01'45.0000"""	 	 	transect3	SS	 	 	 	 	 
 	104	1	105	1.483	 	"217°01'10.0000"""	184.664	"90°02'30.0000"""	 	 	transect3	SS	 	 	 	 	 
 	105	1	106	1.483	 	"217°27'54.0000"""	185.261	"90°04'17.0000"""	 	 	transect3	SS	 	 	 	 	 
 	106	1	107	1.483	 	"216°54'32.0000"""	184.343	"90°01'56.0000"""	 	 	transect3	SS	 	 	 	 	 
