Icon	Name	Ground Northing	Ground Easting	Elevation	Code	Note
 	82	1898.482	1963.464	10.364	 	 
 	83	1894.955	1965.868	10.38	 	 
 	84	1890.299	1969.725	10.445	 	 
 	85	1891.019	1968.851	10.411	 	 
 	86	1891.84	1968.457	10.366	 	 
 	87	1891.227	1968.912	10.397	 	 
 	88	1890.95	1969.194	10.42	 	 
 	89	1891.002	1969.031	10.41	 	 
 	90	2001.02	2009.188	10.488	 	 
 	91	1812.084	1940.259	10.557	 	 
 	92	2187.918	2059.744	10.559	 	 
 	93	1812.082	1940.261	10.558	 	 
 	94	2187.919	2059.742	10.563	 	 
 	95	2140.674	2125.574	9.813	 	 
 	96	1858.827	1875.137	9.929	 	 
 	97	1858.631	1875.282	9.967	 	 
 	98	1858.3	1875.64	10.039	 	 
 	99	1858.409	1875.518	10.031	 	 
 	100	1857.244	1877.188	10.208	 	 
 	101	1857.64	1876.554	10.132	 	 
 	102	1857.478	1876.748	10.161	 	 
 	103	1857.583	1876.668	10.147	 	 
 	104	1852.225	1889.852	10.426	 	 
 	105	1852.559	1888.816	10.385	 	 
 	106	1852.954	1887.31	10.289	 	 
 	107	1852.601	1889.294	10.416	 	 
 	108	1880.33	1884.891	9.904	 	 
 	109	1878.769	1888.485	10.037	 	 
 	110	1875.433	1895.683	10.318	 	 
 	111	1869.686	1907.642	10.318	 	 
 	112	1887.795	1892.221	10.024	 	 
 	113	1887.098	1893.336	10.155	 	 
 	114	1857.969	1936.584	10.851	 	 
 	115	2142.025	2063.433	10.858	 	 
 	116	1857.972	1936.571	10.85	 	 
 	117	2142.027	2063.432	10.853	 	 
 	118	2043.562	1995.072	10.321	 	 
 	119	2039.751	1998.652	10.182	 	 
 	120	2035.606	2002.41	10.05	 	 
 	121	1998.975	1990.809	10.489	 	 
 	122	1807.946	1649.042	13.973	 	 
 	123	2036.218	2013.659	10.044	 	 
 	124	2041.499	2010.237	10.175	 	 
 	125	2051.746	2005.789	10.32	 	 
